userId,testItems
431,36882 14734 22002 17607 33044
433,31107 26332 30486 32287 12502
441,1141 15257 19937 22272 4295
443,29656 6565 29637 30603 34167
445,29862 7528 6675 8270 27908
449,23011 36907 19235 11422 1638
456,8806 29383 12873 21740 5245
458,32069 429 7408 13830 31087
459,13746 34614 2915 7704 15480
463,19242 19532 12641 34124 32802
466,36056 28586 11237 26420 6314
477,960 23506 36552 15013 32209
478,9893 22003 13837 8671 33175
481,14598 21136 11693 2697 20870
487,29177 27491 11237 36317 19534
488,15894 11830 29026 33879 13846
491,15932 24918 5834 17833 9949
494,36705 19785 3163 24274 21273
503,36745 15596 12866 31073 10454
504,13525 20268 11397 28192 11964
508,24914 26417 10879 27660 10576
509,34406 28221 36607 16788 4622
510,13137 27562 4064 10565 29115
511,16928 13214 6258 24849 28461
516,19871 13630 26639 11665 9179
524,15257 22272 29341 33598 30616
527,24853 34134 21199 24986 36401
531,17480 30970 1911 15788 7417
532,35381 28672 35390 11648 26276
541,24391 32038 20086 17072 35225
542,16781 14565 36855 30082 16569
543,28010 14831 28707 33073 13822
549,26822 4984 33963 28121 19810
551,35579 36061 279 5697 30616
559,3407 28034 7524 16134 16027
565,19229 22711 20435 36136 14607
568,7489 5245 30358 562 36589
569,16368 16272 25730 29636 21926
572,25048 11409 8810 14097 7062
582,26547 15299 25740 23670 24772
589,35510 22002 32287 30340 24391
590,30287 36061 3764 20213 5425
592,33314 13349 13132 25083 9272
595,28909 22562 29395 35715 28867
599,20683 13042 23489 23935 27488
600,26547 32777 18422 32525 22482
603,3456 9045 33327 14839 15291
605,24391 23338 25278 31572 14820
606,12264 34140 36811 35478 29417
615,19665 24519 33443 279 34813
616,21129 17341 15177 5696 35379
617,33963 34326 36998 10572 36337
621,32401 34963 33441 3156 23304
632,5085 22781 35140 23134 29199
643,31924 15894 32904 11966 11830
646,16141 15727 25735 7414 35629
651,24019 27163 22509 571 33523
652,36204 26212 10824 1829 17380
653,28190 18106 27941 35968 32462
654,34842 9627 6733 11543 8832
658,12866 32642 29386 546 20513
659,23435 2071 12882 31910 27660
663,37065 1397 14780 36903 27352
665,22002 12196 16790 34530 11661
673,20024 29387 15780 19192 32345
675,26316 28446 24727 33217 35966
680,35066 18453 3826 36908 16030
681,10701 26842 5166 5970 34260
684,24164 10278 34837 32463 21311
691,27497 3271 9484 21378 35775
696,3314 3800 32024 11221 33299
700,33526 7584 35129 7967 30728
705,23012 10893 16730 36204 6258
706,16021 26276 30960 26285 4532
710,4064 36905 22029 17341 27969
712,7461 21846 9607 4532 20757
713,37065 34960 19911 29046 31391
715,28338 37035 2119 20972 16015
717,19196 18453 33598 30622 15325
722,23211 28568 34740 19163 24626
725,820 23794 3939 24388 35208
729,20279 28560 20131 22717 27114
733,32337 31288 12023 11519 10402
739,30142 29876 27648 36350 32027
741,28213 32591 36248 23188 22806
744,31211 21883 17132 18652 27431
747,32521 24039 23883 14662 26263
750,269 6111 551 26550 32287
757,26657 25735 11413 36835 36913
759,8394 11273 19241 6314 15792
761,31695 23433 5349 24658 2605
773,2266 14565 1471 7902 15325
777,25886 22002 34847 36055 7903
780,7181 16616 31914 29754 21926
782,16022 30839 10698 10452 20084
784,26278 7147 30172 26037 13021
787,29046 2623 26621 37065 2561
788,10865 30839 27503 11281 20084
789,31686 33861 4406 20878 8794
791,14885 13755 383 31129 7507
792,22001 19232 31454 18422 33236
796,17991 12196 22002 11661 15183
801,11392 25833 24658 19794 22570
806,10491 11413 15299 24428 25290
808,11651 36843 279 30616 28213
810,36998 13547 33596 34406 33441
813,20513 14480 26278 4379 7632
816,28202 26268 9842 35309 1060
820,26331 13546 33745 366 15371
826,19839 24668 31831 6459 36903
827,24589 33963 20018 30294 1495
828,30603 15351 18522 16423 35199
831,19594 15534 28848 6204 32882
833,34462 5926 25597 31312 26951
834,21381 11870 25675 4440 31914
835,9768 29523 12516 5494 11275
839,14138 25553 30438 14091 35220
850,4526 13354 8529 9084 18978
852,28966 28203 4787 29824 13539
853,28461 33857 17607 36903 20042
854,32520 6321 26173 33471 34551
857,36056 23067 11237 30119 32537
862,2108 960 31915 8129 33780
867,17383 33475 2509 32591 29382
869,7179 22002 5 4617 7903
873,2751 16257 6805 14820 29380
874,27186 17602 22208 276 20327
879,9833 8904 33211 25512 33708
883,20325 33261 24368 34817 1450
884,7414 25886 33443 16793 13264
886,35809 23498 27016 2747 28909
888,17476 12962 27675 27731 26271
890,30019 18453 35390 33598 26428
899,17482 6914 18296 681 14237
900,17911 34478 23930 20757 35315
905,26948 1647 7651 23068 34686
907,22023 36907 33050 26006 8529
908,22482 11960 14098 15795 14094
909,6321 6800 28202 13847 9067
916,33996 15408 19536 8268 3943
919,12196 7290 33315 824 7520
926,10770 23437 1090 34285 5387
927,35809 36158 29662 36356 29431
929,34623 35309 30060 36612 32738
937,9239 3800 14785 16569 5894
942,30839 20084 19529 12222 14118
944,18459 12642 15317 32015 15352
946,18024 4141 7659 27299 24811
947,36466 4132 35379 17736 15313
949,35449 16087 9889 21818 559
956,4347 28514 31085 29642 28197
958,32047 24913 16386 4746 33173
961,31924 5623 24849 28909 28461
968,30956 12196 22002 24153 24039
969,29888 36911 3281 35208 24388
972,21873 6191 19990 26087 19664
977,16262 20915 32054 5192 36805
978,26708 5981 26688 18117 2235
979,27255 1097 22492 29174 13584
982,36907 27491 23302 10454 17611
983,25962 27799 24516 27919 22819
987,36416 17812 12984 22066 25286
990,27731 16421 17064 15523 14809
1005,14930 20756 25647 35815 12789
1010,12269 2912 16520 23314 10445
1011,29642 23433 21495 2623 37065
1014,11958 19238 3951 17209 8810
1016,12798 19242 26417 25602 21125
1017,30222 13344 32384 35595 5594
1033,18468 8147 18705 21776 36846
1043,9105 19408 33475 32777 23261
1044,29551 21372 4892 21750 9473
1046,27629 6707 28879 23936 8978
1055,12857 33443 445 5945 8752
1060,30340 24284 14580 21278 16515
1061,28214 18967 3302 8181 35298
1067,10108 12671 3612 16593 10954
1068,28036 27980 29804 25322 35211
1076,26155 14825 20647 11423 3155
1077,18453 23056 4136 28478 26969
1084,3456 9045 26279 3221 1542
1097,13468 10860 4003 7414 3406
1102,2189 11677 3561 31062 11172
1107,23951 7653 11005 34128 22009
1110,16585 20518 31924 13214 29805
1112,8955 24054 34549 25416 21121
1113,13468 35997 28028 4390 30709
1114,26497 3762 29596 750 25642
1117,1141 2050 13214 28518 18719
1118,29229 20507 13530 3281 32546
1121,15510 28384 9549 32149 36979
1122,27631 23056 27562 22147 30492
1128,279 30616 28213 8145 22467
1135,2037 1637 17791 5228 32735
1136,1306 16451 6258 22029 11592
1137,6299 8235 8047 11337 19396
1144,5283 10632 12325 4068 25798
1145,28525 23679 32519 18017 7330
1146,8235 36932 1060 7166 24699
1148,31444 30287 22895 35105 9463
1151,25560 18892 7627 7632 16322
1152,16585 33137 32842 35795 36713
1157,25624 13137 12384 36839 33045
1159,6619 31408 19892 30082 33606
1161,20444 36918 4515 10663 33509
1163,30195 14019 5161 20266 11838
1165,6379 20353 2042 28213 1188
1173,22002 29380 7903 19247 31562
1175,31101 33648 13451 12820 35481
1177,20620 1495 26547 24912 6193
1178,12669 15847 36745 33132 22300
1180,3163 31082 4262 15791 31085
1181,24158 14575 13898 18081 30674
1184,3826 30287 26153 2134 24515
1189,35081 23438 25877 5971 33314
1190,25936 33071 34602 6623 35805
1193,23463 21331 21826 36215 36198
1201,3406 25735 18150 8261 36844
1204,25731 18490 31059 32016 1031
1205,37132 19532 20881 32775 29359
1218,9588 16288 25797 34311 28993
1222,36911 23677 5970 6804 29381
1224,34403 1644 22006 10974 23873
1229,15537 18694 5743 22883 10396
1233,17694 22822 4072 4081 20665
1235,1643 20329 19364 10718 23034
1236,30358 33037 16585 34737 3067
1238,7414 11413 35208 24388 18121
1240,34832 4526 4398 5490 36324
1249,33116 6258 22029 2042 4532
1256,9893 4746 12203 21396 30232
1263,19664 28263 34100 22623 32110
1264,26842 5970 34260 23304 806
1279,822 35694 24954 33580 8311
1280,27494 37029 20512 17611 21273
1282,32110 24730 16314 20740 25363
1289,17335 12644 20620 28876 29688
1291,9350 15799 2575 36860 22478
1292,15537 17613 33034 9243 1888
1297,7653 14573 16059 13885 37122
1298,33993 5 15299 23670 9909
1314,25735 15727 35629 4064 22300
1316,24399 22211 6321 6800 28202
1322,11359 22880 26615 12595 16720
1327,31924 32407 31686 27257 28213
1333,12799 16996 7667 22801 9831
1334,34657 11259 2732 18719 28466
1335,12502 4278 11000 26705 18156
1336,25247 29862 28462 8270 31564
1343,8602 17620 30032 5484 19296
1345,17977 15533 20695 13192 28677
1346,29041 8394 3398 12516 9354
1348,8810 28194 16223 17463 35714
1356,5706 32237 6368 7414 14789
1361,24912 26547 14523 35387 3101
1365,12723 15769 36515 15293 32808
1373,20338 16371 28290 28352 32879
1378,27452 10164 11531 23802 1638
1379,17405 19242 19478 15183 19532
1387,19345 19112 12497 12857 35303
1391,1188 7056 9738 17052 16307
1405,14626 33169 8134 18821 36599
1406,35511 33598 8129 27085 16790
1408,34961 10164 11531 21818 23802
1416,23913 11001 32520 24159 32044
1417,19532 20507 19242 17405 19478
1418,3406 16141 32400 29736 34531
1420,3527 19251 13858 6825 14513
1423,34910 3830 24395 3163 29109
1426,9354 445 28213 28964 21780
1428,19302 16720 20996 35443 3872
1431,16550 20682 24835 24496 6785
1433,8541 34140 3006 25758 19520
1436,7053 26285 36850 1619 25263
1438,36061 25055 20348 7407 27477
1444,5971 15285 28349 11187 36470
1445,19664 24991 28462 5016 5699
1447,3406 18081 5161 8129 12941
1452,31925 17554 36337 36979 32790
1453,25340 16688 778 27023 16202
1463,29115 14118 17676 31100 5
1470,28342 16942 2979 2336 26124
1473,20617 9027 8706 11869 30487
1474,12072 31556 16013 3272 32810
1476,15783 30345 31795 27658 7677
1481,16846 3887 21482 8717 30492
1484,13468 9833 3406 10865 16141
1486,25736 18987 10747 5166 36255
1487,13497 17380 8959 3219 21167
1493,22001 17421 30217 13277 19192
1501,13268 21949 10925 3139 21937
1502,32918 34627 21409 14355 36932
1503,1 36056 8394 12516 9354
1506,28902 10712 18403 34124 24166
1508,23772 32808 36392 31446 21037
1509,19632 4475 13137 11413 31076
1510,843 36822 22788 25020 13497
1511,31293 3835 27668 9222 17037
1516,18453 23056 33445 22717 32162
1527,21740 9354 16768 9577 19020
1528,34612 30911 442 20267 10725
1538,9167 18055 35532 29251 5617
1547,11837 23056 28527 15779 32231
1551,31281 4051 27933 20611 3428
1555,28909 36835 5488 7669 30821
1560,35391 20518 33598 1646 31553
1564,34125 14792 11259 9577 23912
1572,8931 18049 12386 26320 9730
1576,8129 8135 28209 36598 8148
1577,2675 23913 37095 32520 33793
1578,32447 2108 960 16437 17066
1587,17254 28213 33443 9084 36248
1588,3826 36061 12196 10452 33315
1606,28244 3070 27662 7143 32983
1607,30141 19001 22467 34954 9535
1617,28396 23101 36756 11300 24692
1620,735 17283 1984 27569 2115
1624,15853 33327 9045 8309 18945
1626,11648 19060 31450 17690 9563
1627,11648 24519 29803 31209 24914
1635,35510 29461 22211 32836 26623
1636,35080 6205 16274 19711 34390
1637,30141 22467 4939 35305 29610
1638,19020 18383 24124 19794 9711
1641,36063 5686 6157 27039 2061
1642,19610 13320 9025 9999 19300
1643,23912 3281 25290 27231 4352
1644,4674 33174 36468 19718 7593
1645,4536 21936 33175 31142 4012
1647,16022 10452 20084 1910 19529
1648,24158 24517 36911 27491 2747
1649,28216 32537 23930 36862 33573
1657,24825 32281 27667 15392 10134
1658,827 1778 8952 7065 20487
1661,35630 24914 27085 4746 7662
1663,28320 35405 34403 22365 34530
1664,33443 18718 28213 7595 36248
1667,10098 33246 25525 14644 15597
1670,23788 15108 19388 8421 36877
1675,29577 26951 23506 28995 34949
1681,22982 25556 16585 29805 11648
1684,829 4623 12213 1656 10852
1685,3821 31023 36207 14297 3130
1686,30287 3826 2134 21195 10452
1693,6321 6800 9220 28202 9067
1696,26658 34134 29177 24391 6561
1699,28964 27776 19001 13726 16451
1707,20333 6678 17070 14232 11258
1713,16047 22245 20294 9250 4708
1719,18468 36056 6804 9082 12399
1723,36549 26479 9567 35968 4195
1726,4526 19887 31982 20539 30728
1727,23143 27629 23089 5117 8805
1728,9463 11959 19244 29421 1625
1734,269 30925 30453 3164 562
1739,29353 30387 34266 21702 16327
1740,21394 20209 3091 10793 2645
1750,31794 10437 32432 25763 32137
1756,36061 20213 32287 28587 7287
1757,10243 21546 34440 12042 21084
1760,5016 5481 27356 909 14644
1761,34658 25334 24187 84 1053
1764,20621 4038 22515 10491 18740
1765,3281 27623 34409 8384 2048
1766,2984 9415 16825 11750 28713
1767,15623 31203 3006 21036 11446
1768,2732 29166 25758 19520 31101
1773,30435 13137 36055 35208 36902
1782,35207 13933 10235 17224 29953
1785,22719 34478 1495 18150 7534
1786,30287 3826 2134 24515 21195
1787,19532 22818 26281 32519 12394
1788,26473 2759 24479 37125 13178
1789,15333 18096 13656 17205 19669
1792,36705 24274 21273 15791 37036
1796,22956 15066 10992 4620 30213
1800,36056 26554 31796 21739 23065
1803,35182 33315 15791 30751 9255
1804,8877 4198 14110 32165 5227
1805,18848 27770 25740 30100 27847
1806,15250 10326 31682 5043 19247
1807,31914 30130 5481 33577 12653
1808,6657 33681 35775 9735 30086
1812,25188 18202 19601 5288 33153
1813,33963 31925 22787 36337 36979
1816,8547 9796 32726 29348 35937
1818,28993 34311 1191 25797 16288
1820,6099 13272 12196 35382 19242
1823,29177 8810 19534 36924 26971
1827,26658 10087 6744 34124 7585
1829,23599 27322 23293 21149 28018
1833,8112 25553 14092 25194 24716
1845,9512 36803 36104 12912 10497
1857,24776 10699 12081 5233 30527
1858,2714 31604 17648 21412 33119
1862,14814 19748 24844 13350 13922
1866,7889 16141 35629 7414 28775
1874,25675 26552 33041 5484 3006
1875,30789 18290 31925 36337 33963
1876,34577 28909 21522 34090 14464
1879,14814 24589 31089 3813 18498
1881,33402 25121 4847 33246 32342
1883,9772 6675 34801 28781 24407
1885,33861 11408 4406 33800 31686
1888,13064 1659 35760 29115 16628
1898,27660 5474 12161 32316 36325
1899,9567 34674 7827 2743 4205
1900,29035 36061 22002 17069 31076
1901,21740 5245 30358 36589 30363
1906,32332 33498 27584 36323 31446
1910,23677 30618 20645 6587 31309
1911,4066 31214 33592 7422 6200
1918,32879 15721 27257 28213 14579
1919,15847 32400 26713 4390 24716
1920,26407 36603 30340 16516 3294
1933,32287 2458 6314 26737 36872
1935,7241 30558 31914 3826 30130
1936,35511 13146 9080 6922 135
1938,28910 12002 36613 20551 246
1940,31556 1502 12454 35513 33807
1941,17626 28182 33649 28713 21441
1943,7889 6263 3456 5286 8394
1944,9782 25258 26430 26276 19536
1945,6536 27963 8808 15192 4515
1947,7114 31556 34340 30910 22002
1948,30989 34602 31220 5 34136
1950,8877 17480 28709 14588 31800
1952,6682 31303 31089 3813 30599
1954,23480 2442 23296 15785 9258
1955,5489 5474 30098 21712 33071
1956,1728 31079 30614 7662 16518
1957,14631 13900 10726 32972 12966
1963,24752 15207 35953 17149 13326
1964,17380 11967 29642 35768 23886
1976,32776 1375 9619 25610 14102
1977,25730 36598 14579 6324 16768
1978,35481 32674 27098 23302 20888
1981,559 11967 9761 11237 6314
1985,2605 21986 14649 26343 20933
1986,7889 33857 27660 1899 28477
1991,32047 29740 24647 29659 19360
1993,30709 4746 8550 11624 17064
1999,22002 31085 24772 11943 13122
2007,2854 17482 6914 4139 6565
2009,33857 17607 11661 36903 1899
2011,25597 26951 31085 29642 28926
2013,34092 22482 27138 30135 5970
2017,3826 36911 13141 3835 23067
2020,14225 16520 9765 5698 10445
2027,31567 10641 35310 10489 10480
2028,3406 10865 16141 32400 29736
2037,18377 21482 27631 27828 13137
2040,34537 24152 22579 5355 11260
2041,28966 28203 27726 30718 32382
2042,30826 20889 22629 30760 33425
2045,30019 8187 27172 2247 2765
2051,2464 23913 32520 6321 6800
2052,21609 12993 7759 5614 2354
2053,35010 14591 7519 32578 32703
2054,4380 32112 22863 19981 6446
2058,36907 6682 35930 31303 2049
2060,29177 31564 36924 19534 20063
2061,31339 18630 33475 32777 23261
2066,30455 4652 9768 11275 7714
2072,7889 26491 8541 33870 1162
2073,22002 12196 16790 34530 11661
2080,18242 34961 17873 34686 5713
2081,9607 21358 32407 13925 22925
2084,30064 7312 6314 11259 27824
2086,5554 16795 3103 29807 35815
2090,16525 4007 18145 32478 25807
2091,14734 24164 16525 16519 16271
2095,11237 36317 18389 3314 31329
2097,33792 29980 16575 29966 25125
2106,31910 7874 16148 17075 9234
2108,8130 3943 33578 802 3693
2117,23304 806 25574 31097 33412
2119,6953 17339 3281 4072 33319
2121,2030 27726 7889 33870 31481
2124,15599 34 4358 15197 18338
2129,31925 32404 9862 30789 36337
2130,9163 14301 34530 10170 14912
2132,33041 26552 17322 21151 25285
2133,3835 18430 10448 17084 9239
2135,32179 32352 20086 11966 19001
2136,34342 35993 3018 23534 9597
2137,34961 30130 27674 31446 26417
2146,34960 22213 29174 259 27
2147,17066 27260 34682 24797 10977
2149,13272 3949 34815 14237 10568
2155,26268 9067 12858 22315 35530
2156,6263 35390 8395 1848 28775
2157,27584 18087 13730 31172 16079
2164,35805 34680 29146 25845 31547
2167,27798 33717 37025 2986 18821
2168,5163 14591 11043 18756 19852
2179,21590 33593 12523 32647 27086
2182,3978 31638 24263 31912 31572
2186,23980 29178 25574 25085 7629
2195,9234 30123 28427 9735 32028
2202,32778 16017 6810 17608 10988
2212,22467 35775 27441 14933 15599
2227,27257 28213 20905 7065 36872
2236,22214 5725 21748 21162 35256
2244,8784 17037 13141 2195 4893
2247,30879 33115 24768 36313 32555
2248,29389 32287 23314 35495 7402
2254,35511 23794 34842 13276 6922
2257,31304 23334 1397 8548 31341
2261,1015 29993 17380 3279 34031
2263,16416 19532 27225 35329 269
2265,26044 19992 35938 30619 36903
2268,32400 19242 7662 12669 15183
2270,16985 8649 33037 17679 27569
2272,6111 19503 10685 35919 12656
2273,7114 34129 31082 7838 1569
2274,4733 36756 27269 1060 24699
2280,14387 21271 15242 4814 12396
2285,4398 12866 546 29386 20513
2287,14110 5227 10452 2738 18152
2290,10515 36255 4967 24756 2073
2298,5919 14587 31212 7228 4949
2305,14762 7118 28345 32478 21541
2306,21068 34426 36911 26254 9255
2312,16201 4882 35621 79 15608
2313,34134 13142 21739 6314 18438
2319,29041 11413 15299 23670 9909
2320,35772 18972 36077 33092 8499
2324,15808 5587 33235 15964 16938
2326,15135 25597 26951 21381 10491
2330,33997 34961 35511 33993 28220
2338,8941 2608 24391 16515 23659
2341,16295 1660 30524 14134 31737
2345,21191 31925 30789 36337 28733
2346,29805 16585 30453 843 29364
2347,29389 26550 23314 12641 3275
2351,35315 12196 35328 27819 20441
2352,24159 1909 34258 22705 10706
2357,28220 20084 36853 36325 540
2360,33050 34024 5789 27650 31886
2361,24626 33266 2751 14820 22290
2366,23058 23657 10010 7076 36323
2368,35082 10924 4897 14130 34170
2369,14651 21661 2247 843 19532
2374,3406 15847 1306 24716 16451
2379,20255 21202 5111 15849 15293
2388,33709 6456 13868 16293 30936
2394,8800 34403 12795 30495 35513
2397,5696 34826 6086 21262 35228
2398,20955 23949 26713 19001 4390
2399,36109 26668 10865 9207 28202
2403,24399 21130 6321 6800 28202
2404,33928 25393 13277 827 1778
2407,18348 24306 33613 19722 30428
2409,15452 8347 14734 32308 35738
2410,24306 32447 5623 24849 11446
2414,19238 32821 5910 6621 33452
2421,11973 14583 29645 262 32014
2426,21167 17648 9354 21099 21187
2428,26938 12670 11451 34325 30488
2435,11837 28527 18081 28771 11004
2442,22395 17808 19001 26713 4390
2448,20925 27916 19549 34406 17058
2449,30347 32260 18724 26983 15750
2452,33282 32951 27662 12637 8179
2455,7830 12522 25883 8808 21069
2466,27941 17335 573 20518 24519
2467,8195 9836 32615 24353 6476
2472,36235 22580 29184 3219 19910
2474,36705 13137 1216 35208 36055
2480,25020 20151 16795 785 31076
2489,18453 7055 33598 22215 27675
2496,8531 12396 7662 18719 9239
2500,30213 3137 36807 13995 7245
2502,4536 31178 26474 29614 12261
2504,30195 14019 5161 20266 11838
2506,25920 13061 11731 35473 7622
2508,30346 35495 34657 22560 18719
2512,22367 3376 5222 7656 21148
2519,32776 14230 29046 22209 28035
2520,14458 13451 8572 31857 16545
2521,29308 23313 2270 20477 23647
2524,25939 13502 29534 16713 26956
2528,24399 9768 13142 5494 27660
2543,34961 34686 8277 23326 35477
2547,36102 29754 36777 7548 7205
2549,7135 8119 32290 17354 17182
2551,8398 32523 3160 18225 11116
2557,3481 8037 34789 27777 29259
2560,19545 22212 33055 4880 27673
2561,24395 27257 14839 19525 2720
2564,30491 26276 8270 31564 35381
2569,687 25886 30622 15053 8949
2570,4882 18459 7875 4866 3813
2571,17190 3656 36846 12671 11395
2581,10865 1495 21613 9354 29261
2582,32308 24997 14507 35328 2516
2585,28221 16788 36290 11827 12395
2591,20995 3281 36598 4534 10356
2595,27591 33649 22473 26137 7055
2597,25939 14988 13502 32038 29645
2599,12516 18016 6446 562 36589
2602,36439 10718 11553 33033 30806
2603,30708 8939 32879 27041 32503
2604,5590 3972 8743 31180 29047
2610,3164 21216 17207 18453 24793
2617,36911 3281 3279 22790 26254
2621,12587 2768 36724 13715 6022
2623,28727 32560 31071 7856 33868
2624,21381 36011 27674 30130 30616
2629,34401 27675 5 13622 29152
2631,14154 17893 14872 33546 23775
2633,30146 23314 3794 14141 7083
2638,30789 36337 36979 31925 28733
2644,36800 4188 13657 18413 8983
2645,35753 3800 7489 6866 14647
2647,2186 13870 30629 36823 21951
2648,3294 14815 34357 33100 14728
2651,9015 14405 35026 12652 1866
2654,16794 18412 9258 6837 1141
2655,16930 19130 30611 36709 26430
2658,27398 25940 26713 31768 22250
2661,4099 20058 18359 34651 34439
2662,29255 34648 15260 8875 24626
2667,28905 13898 34340 24158 23792
2674,23675 21401 16256 2984 10996
2675,2068 8496 7889 6263 3456
2680,8270 13164 32236 18702 23091
2686,12196 22002 30839 27503 20084
2690,11259 32059 28466 19798 33562
2696,24124 20413 23954 21740 31992
2697,8358 1626 15242 14203 18531
2699,10992 22814 22956 11827 37063
2701,23336 28587 16803 30453 13214
2709,9075 1698 32285 31499 18885
2712,35831 28216 1 36056 13148
2713,3406 8129 32400 29736 34531
2716,35202 136 10041 14688 15894
2718,33246 10098 15893 34950 13989
2721,3216 28642 14629 14513 37034
2728,27826 36955 12354 9006 25084
2729,23439 33178 25605 13020 21336
2734,35083 10393 952 14867 10163
2737,29656 10041 14688 15894 12669
2743,32925 34406 32533 36337 36979
2751,29805 66 36915 2720 7086
2762,35968 31985 31329 11312 29645
2764,19242 32775 17911 10632 12820
2772,12102 8394 31546 13898 3267
2775,16524 36706 1103 20330 22217
2776,30616 14101 28213 5484 8145
2782,27052 32642 5227 30220 9202
2784,11838 11952 14227 34968 21398
2785,30924 17644 16603 22535 27972
2795,6805 29380 18710 5482 36848
2800,6804 34419 12092 23101 4490
2801,29650 5726 773 21175 27711
2808,13451 21099 26420 29177 36317
2812,14762 22213 18650 31073 6876
2813,26491 5591 26601 33282 18870
2816,17206 15299 23067 23670 15183
2823,14119 19718 12492 664 19127
2829,33029 8771 22515 10491 11921
2830,33857 26417 6921 27660 1899
2832,7889 36587 3314 3800 21429
2835,7889 16141 35629 7414 28775
2837,27941 32462 23211 7519 37030
2839,35100 551 6561 11392 10961
2843,35379 34554 28477 30603 27361
